CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD357945,09/05/2020 10:00:00 PM,012XX W ERIE ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,N,N,1215,1,20,1168024,1904498,41.893483052,-87.65835439,"(41.893483052, -87.65835439)"
JD364223,09/11/2020 11:00:00 AM,006XX W PATTERSON AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1925,46,05,1171073,1924660,41.948742199,-87.64656355,"(41.948742199, -87.64656355)"
JD363965,09/11/2020 03:55:00 PM,0000X N LOREL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1522,28,14,1140716,1899805,41.881150589,-87.758763376,"(41.881150589, -87.758763376)"
JD470371,12/26/2020 11:25:00 PM,072XX S MILLARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,833,13,08B,1153287,1856432,41.761889087,-87.713751477,"(41.761889087, -87.713751477)"
JD363300,09/11/2020 12:15:00 AM,080XX S KIMBARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,411,8,08B,1186274,1851956,41.748890913,-87.592992275,"(41.748890913, -87.592992275)"
JD393036,10/08/2020 05:10:00 PM,032XX W NORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1421,26,08B,1154565,1910454,41.910106765,-87.707625112,"(41.910106765, -87.707625112)"
JD364240,09/11/2020 07:58:00 PM,038XX W ROOSEVELT RD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,1011,24,26,1151170,1894442,41.866235446,-87.720517147,"(41.866235446, -87.720517147)"
JE223887,05/08/2021 04:15:00 PM,009XX E 130TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA PARKING LOT / GROUNDS,N,Y,533,9,08B,1184894,1819085,41.658721279,-87.599076027,"(41.658721279, -87.599076027)"
JD364943,09/11/2020 08:00:00 PM,024XX N AUSTIN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2512,30,06,1135989,1915642,41.924694823,-87.775742939,"(41.924694823, -87.775742939)"
JD364101,09/11/2020 05:38:00 PM,013XX W EDDY ST,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,1924,44,08A,1166706,1923687,41.946167141,-87.662643751,"(41.946167141, -87.662643751)"
JE223687,05/08/2021 02:05:00 PM,016XX W JARVIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2422,49,07,1164276,1949111,42.015983285,-87.670852831,"(42.015983285, -87.670852831)"
JD364027,09/11/2020 04:42:00 PM,016XX S HARDING AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1014,24,04B,1150327,1891471,41.858099141,-87.723689347,"(41.858099141, -87.723689347)"
JD364674,09/11/2020 07:00:00 PM,061XX W CORNELIA AVE,0810,THEFT,OVER $500,STREET,N,N,1633,36,06,1134895,1922635,41.943903845,-87.77959688,"(41.943903845, -87.77959688)"
JD456694,12/11/2020 08:35:00 PM,019XX W CORTLAND ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,BAR OR TAVERN,N,Y,1434,32,26,1163173,1912655,41.915969794,-87.675940778,"(41.915969794, -87.675940778)"
JD363469,09/11/2020 01:00:00 AM,003XX W 105TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,512,34,07,1175934,1834967,41.702508728,-87.631389267,"(41.702508728, -87.631389267)"
JD364355,09/11/2020 10:30:00 PM,004XX N MC CLURG CT,0810,THEFT,OVER $500,STREET,N,N,1834,42,06,1179117,1903432,41.890311207,-87.617646823,"(41.890311207, -87.617646823)"
JD366655,09/11/2020 05:45:00 PM,011XX N MILWAUKEE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1213,27,07,1165952,1907936,41.902961643,-87.665865852,"(41.902961643, -87.665865852)"
JD364377,09/11/2020 10:34:00 PM,116XX S ADA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,524,34,14,1169424,1827515,41.682202359,-87.655441904,"(41.682202359, -87.655441904)"
JD364728,09/11/2020 04:00:00 PM,008XX N LAWNDALE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1112,27,05,1151567,1905313,41.89605885,-87.718773934,"(41.89605885, -87.718773934)"
JD364413,09/11/2020 09:12:00 PM,0000X S KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,28,16,1145662,1899532,41.880309142,-87.740608663,"(41.880309142, -87.740608663)"
JD364103,09/11/2020 05:37:00 PM,036XX W CERMAK RD,0460,BATTERY,SIMPLE,STREET,N,N,1014,24,08B,1152462,1889137,41.851652503,-87.715914119,"(41.851652503, -87.715914119)"
JD364199,09/11/2020 02:45:00 PM,001XX S WACKER DR,0460,BATTERY,SIMPLE,SIDEWALK,N,N,122,42,08B,1173883,1899742,41.88030381,-87.636978269,"(41.88030381, -87.636978269)"
JD364093,09/11/2020 05:37:00 PM,026XX W FITCH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2411,50,08B,1157485,1947335,42.011251389,-87.695890279,"(42.011251389, -87.695890279)"
JD363945,09/11/2020 03:26:00 PM,061XX N CLAREMONT AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,2413,40,08B,1159541,1940634,41.992821363,-87.68851108,"(41.992821363, -87.68851108)"
JD363415,09/11/2020 06:48:00 AM,041XX W NORTH AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,2534,26,08A,1148353,1910309,41.909830954,-87.730449441,"(41.909830954, -87.730449441)"
JD367669,09/10/2020 09:00:00 PM,058XX N KENMORE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2022,48,11,1168188,1938967,41.988064008,-87.656752921,"(41.988064008, -87.656752921)"
JD364363,09/11/2020 10:40:00 PM,047XX W BELLE PLAINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1722,45,08B,1143927,1926916,41.955486378,-87.74629118,"(41.955486378, -87.74629118)"
JD456522,12/10/2020 10:00:00 PM,110XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,N,N,513,9,06,1178852,1832003,41.694309334,-87.620794172,"(41.694309334, -87.620794172)"
JD363479,09/11/2020 08:20:00 AM,046XX W JACKSON BLVD,0880,THEFT,PURSE-SNATCHING,CTA BUS STOP,N,N,1131,28,06,1145399,1898284,41.876889461,-87.741605976,"(41.876889461, -87.741605976)"
JD361890,09/09/2020 05:10:00 PM,042XX W VAN BUREN ST,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,1132,28,03,1148108,1897683,41.875188566,-87.73167472,"(41.875188566, -87.73167472)"
JD364654,09/11/2020 05:00:00 PM,011XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1531,37,14,1141824,1907005,41.900887827,-87.754516465,"(41.900887827, -87.754516465)"
JD367858,09/11/2020 11:00:00 AM,063XX S ST LAWRENCE AVE,0820,THEFT,$500 AND UNDER,VACANT LOT / LAND,N,N,312,20,06,1181327,1863021,41.779369787,-87.610779149,"(41.779369787, -87.610779149)"
JD363986,09/11/2020 03:07:00 PM,078XX S WABASH AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,N,N,623,6,04B,1178068,1853118,41.752269397,-87.623026716,"(41.752269397, -87.623026716)"
JD365384,09/11/2020 05:30:00 PM,071XX S WASHTENAW AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,831,18,08B,1159610,1857122,41.763655237,-87.690557874,"(41.763655237, -87.690557874)"
JD368066,09/06/2020 10:00:00 AM,079XX S RACINE AVE,0460,BATTERY,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,612,17,08B,1169702,1852085,41.749620149,-87.653714313,"(41.749620149, -87.653714313)"
JD364432,09/11/2020 08:06:00 PM,0000X S KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,28,16,1146395,1899527,41.880281499,-87.737917265,"(41.880281499, -87.737917265)"
JD363379,09/11/2020 04:58:00 AM,035XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1413,26,08B,1152830,1913069,41.917317112,-87.713929467,"(41.917317112, -87.713929467)"
JD364233,09/11/2020 07:58:00 PM,031XX W ARMITAGE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1414,32,06,1155045,1913118,41.917407385,-87.70579017,"(41.917407385, -87.70579017)"
JD364629,09/11/2020 08:00:00 PM,079XX S WESTERN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,835,18,03,1161754,1852117,41.749876545,-87.682838316,"(41.749876545, -87.682838316)"
JD363976,09/11/2020 03:00:00 PM,033XX W CARROLL AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,1123,28,08B,1154031,1902203,41.887475918,-87.709807121,"(41.887475918, -87.709807121)"
JD363340,09/11/2020 01:17:00 AM,011XX N AVERS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1112,37,03,1150511,1907228,41.901334494,-87.722602365,"(41.901334494, -87.722602365)"
JD363883,09/11/2020 11:45:00 AM,062XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,313,20,06,1183525,1863737,41.781283592,-87.602698826,"(41.781283592, -87.602698826)"
JD368090,08/10/2020 05:15:00 AM,013XX S LAWNDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1011,24,26,1151923,1893457,41.86351771,-87.717778727,"(41.86351771, -87.717778727)"
JD363405,09/11/2020 06:30:00 AM,032XX W 64TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,823,17,14,1155827,1862001,41.777120695,-87.704292712,"(41.777120695, -87.704292712)"
JD363456,09/11/2020 08:00:00 AM,018XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1021,24,08B,1153327,1890808,41.856220811,-87.712695002,"(41.856220811, -87.712695002)"
JD364146,09/11/2020 05:00:00 PM,032XX W 55TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,822,14,08B,1155567,1867964,41.793489253,-87.705086148,"(41.793489253, -87.705086148)"
JD364422,09/11/2020 07:15:00 AM,033XX N OSCEOLA AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1631,29,06,1125831,1921317,41.940442935,-87.812942104,"(41.940442935, -87.812942104)"
JD364619,09/11/2020 07:35:00 PM,034XX W POLK ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1133,24,26,1153553,1896157,41.870894581,-87.711723302,"(41.870894581, -87.711723302)"
JD364228,09/11/2020 07:22:00 PM,048XX W VAN BUREN ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,Y,N,1533,24,18,1144142,1897573,41.874962077,-87.746239211,"(41.874962077, -87.746239211)"
JD367709,09/11/2020 11:00:00 PM,079XX S CALUMET AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,623,6,06,1179847,1852530,41.750615371,-87.616525456,"(41.750615371, -87.616525456)"
JD456057,12/11/2020 12:00:00 PM,029XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,2413,50,14,1155746,1942315,41.997511665,-87.702424913,"(41.997511665, -87.702424913)"
JD364370,09/11/2020 10:30:00 PM,078XX S WOOD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,611,17,15,1165711,1852722,41.751453743,-87.66832098,"(41.751453743, -87.66832098)"
JD363419,09/11/2020 06:45:00 AM,0000X W TERMINAL ST,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Y,N,1653,41,08A,1101811,1934419,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
JD363358,09/11/2020 03:00:00 AM,026XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,1423,26,08B,1158611,1908546,41.904789104,-87.692814025,"(41.904789104, -87.692814025)"
JD363938,09/11/2020 03:25:00 PM,055XX S LAFLIN ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,713,16,04B,1167286,1867876,41.793004722,-87.662115949,"(41.793004722, -87.662115949)"
JD363317,09/11/2020 12:05:00 AM,049XX S TRIPP AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,N,815,14,04A,1148859,1871630,41.803681203,-87.729589709,"(41.803681203, -87.729589709)"
JD456308,12/11/2020 02:30:00 PM,054XX W WASHINGTON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1523,28,07,1139721,1900209,41.882277438,-87.762407142,"(41.882277438, -87.762407142)"
JE189186,04/04/2021 04:00:00 AM,104XX S CORLISS AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,512,9,06,1183417,1836085,41.705406026,-87.603954053,"(41.705406026, -87.603954053)"
JD364362,09/11/2020 10:21:00 PM,029XX W 87TH ST,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,835,18,08A,1158265,1846779,41.735299884,-87.695768531,"(41.735299884, -87.695768531)"
JD393139,10/08/2020 11:00:00 AM,017XX S STATE ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,131,3,06,1176607,1891853,41.858594819,-87.627214427,"(41.858594819, -87.627214427)"
JD364616,09/11/2020 07:30:00 PM,070XX S BISHOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,734,17,08B,1167885,1857997,41.765882664,-87.660203048,"(41.765882664, -87.660203048)"
JD368177,09/10/2020 06:05:00 PM,002XX E LOWER NORTH WATER ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,26,1177769,1903333,41.890070292,-87.622600255,"(41.890070292, -87.622600255)"
JD456206,12/11/2020 02:20:00 PM,017XX W TOUHY AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,2423,49,08B,1163521,1947891,42.012651582,-87.673665584,"(42.012651582, -87.673665584)"
JD364273,09/11/2020 07:33:00 PM,015XX E 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,314,5,08B,1187632,1864700,41.783829393,-87.587611258,"(41.783829393, -87.587611258)"
JD396775,08/11/2020 02:30:00 PM,0000X W MONROE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,112,42,11,1175804,1899905,41.880708104,-87.629919733,"(41.880708104, -87.629919733)"
JD392334,10/08/2020 12:31:00 AM,008XX W IRVING PARK RD,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,Y,N,1915,46,08B,1169789,1926761,41.954535555,-87.651221802,"(41.954535555, -87.651221802)"
JD364181,09/11/2020 05:50:00 PM,015XX N SHEFFIELD AVE,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,N,N,1822,27,06,1169405,1910555,41.91007391,-87.653106106,"(41.91007391, -87.653106106)"
JD363804,09/11/2020 01:04:00 PM,001XX W 91ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,634,21,08B,1177091,1844462,41.728538341,-87.626867376,"(41.728538341, -87.626867376)"
JD365656,09/11/2020 08:00:00 AM,031XX W FULLERTON AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1414,32,06,,,,,
JD456706,12/11/2020 08:44:00 PM,003XX S WELLS ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,122,42,06,1174780,1898767,41.877608332,-87.633713798,"(41.877608332, -87.633713798)"
JD364231,09/11/2020 12:00:00 PM,089XX S ADA ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),N,Y,2222,21,26,1168894,1845515,41.731608618,-87.656864409,"(41.731608618, -87.656864409)"
JD364385,09/11/2020 11:25:00 PM,025XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,Y,133,4,08B,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JD367933,09/06/2020 04:00:00 PM,024XX W 51ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,923,14,06,1161020,1870793,41.801141301,-87.685012091,"(41.801141301, -87.685012091)"
JD364438,09/11/2020 11:42:00 PM,029XX S DEARBORN ST,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",STREET,Y,N,133,3,08A,1176406,1885545,41.841289747,-87.628142362,"(41.841289747, -87.628142362)"
JE189407,04/04/2021 12:00:00 AM,035XX N HARLEM AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,N,N,1631,38,04B,1127450,1922614,41.943974935,-87.806962321,"(41.943974935, -87.806962321)"
JD363367,09/11/2020 03:37:00 AM,049XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1622,45,08B,1136510,1932526,41.971016931,-87.773423246,"(41.971016931, -87.773423246)"
JD363873,09/11/2020 02:30:00 PM,014XX N SEDGWICK ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,N,N,1821,27,11,1173383,1910000,41.908463464,-87.638509169,"(41.908463464, -87.638509169)"
JD360253,09/07/2020 11:30:00 AM,073XX S EVANS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,323,6,07,1182493,1856570,41.761640651,-87.606704317,"(41.761640651, -87.606704317)"
JD368551,08/19/2020 12:00:00 AM,010XX E OAKWOOD BLVD,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,212,4,06,1184088,1879806,41.82536503,-87.600132224,"(41.82536503, -87.600132224)"
JD364149,09/11/2020 11:00:00 AM,086XX S MARYLAND AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,632,8,08A,1183405,1847803,41.737561891,-87.603634286,"(41.737561891, -87.603634286)"
JD363823,09/11/2020 01:55:00 PM,008XX W IRVING PARK RD,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,N,1915,46,08A,1169817,1926762,41.954537688,-87.651118841,"(41.954537688, -87.651118841)"
JE130747,02/01/2021 04:00:00 PM,024XX N AUSTIN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,2512,30,26,1135989,1915615,41.924620732,-87.775743584,"(41.924620732, -87.775743584)"
JD364298,09/11/2020 07:00:00 PM,007XX W WAYMAN ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,42,06,1171400,1902335,41.887474096,-87.646019249,"(41.887474096, -87.646019249)"
JD364091,09/11/2020 06:00:00 AM,036XX N NORDICA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1632,38,07,1128429,1923444,41.946235999,-87.803345022,"(41.946235999, -87.803345022)"
JD364904,09/11/2020 09:04:00 PM,036XX W ADDISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,N,N,1732,45,14,1151466,1923690,41.946488939,-87.718661096,"(41.946488939, -87.718661096)"
JD456477,12/11/2020 05:15:00 PM,033XX W VAN BUREN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,1134,28,15,1153980,1897823,41.875457766,-87.710111215,"(41.875457766, -87.710111215)"
JD363980,09/11/2020 10:30:00 AM,063XX S FAIRFIELD AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,825,17,05,1159133,1862552,41.778565718,-87.692157822,"(41.778565718, -87.692157822)"
JD363502,09/11/2020 09:00:00 AM,025XX W MONTROSE AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1911,47,06,1158462,1929134,41.961287044,-87.692796336,"(41.961287044, -87.692796336)"
JD393265,10/08/2020 08:55:00 PM,096XX S LUELLA AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,431,7,04A,1192962,1841284,41.719445449,-87.568832732,"(41.719445449, -87.568832732)"
JD364842,09/11/2020 09:00:00 AM,041XX N MAPLEWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1911,47,05,1158653,1927413,41.956560604,-87.69214146,"(41.956560604, -87.69214146)"
JE189104,04/04/2021 11:08:00 AM,007XX N HOMAN AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1121,27,18,1153577,1904748,41.89446869,-87.711406615,"(41.89446869, -87.711406615)"
JD393255,10/08/2020 09:05:00 PM,016XX N KEATING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,2533,37,14,1144478,1910543,41.910546932,-87.744678836,"(41.910546932, -87.744678836)"
JD368781,09/11/2020 09:00:00 PM,076XX S KEDZIE AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,835,18,06,1156371,1853721,41.754388164,-87.702521013,"(41.754388164, -87.702521013)"
JD365264,09/10/2020 09:59:00 PM,037XX S WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,213,3,11,1177346,1880050,41.826189809,-87.624859232,"(41.826189809, -87.624859232)"
JD363893,09/11/2020 07:00:00 AM,040XX N LAPORTE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1624,45,14,1142630,1926592,41.954621575,-87.75106737,"(41.954621575, -87.75106737)"
JE223648,05/08/2021 01:50:00 PM,033XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1024,24,14,1154489,1891024,41.856790413,-87.708424071,"(41.856790413, -87.708424071)"
JD364417,09/11/2020 11:49:00 PM,020XX N HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2525,26,08B,1150720,1913162,41.917613869,-87.721679254,"(41.917613869, -87.721679254)"
JD363492,09/11/2020 09:00:00 AM,007XX W LAKE ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1224,27,04A,1171210,1901678,41.885675419,-87.646736286,"(41.885675419, -87.646736286)"
JE225652,05/08/2021 12:08:00 AM,014XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,SCHOOL - PUBLIC BUILDING,N,N,1235,25,05,1167039,1889518,41.852397931,-87.662401967,"(41.852397931, -87.662401967)"
JD364336,09/11/2020 10:02:00 PM,012XX S INDEPENDENCE BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),Y,N,1011,24,15,1151449,1894159,41.865453392,-87.719500335,"(41.865453392, -87.719500335)"
JD363454,09/11/2020 05:30:00 AM,019XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,1225,27,08A,1163615,1898637,41.877494027,-87.674712257,"(41.877494027, -87.674712257)"
JD364136,09/11/2020 05:43:00 PM,014XX W 66TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,725,16,15,1167685,1860974,41.77405623,-87.6608508,"(41.77405623, -87.6608508)"
JD364131,09/11/2020 06:20:00 PM,018XX S ST LOUIS AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1021,24,04B,1153330,1890725,41.85599299,-87.712686192,"(41.85599299, -87.712686192)"
JD365350,09/11/2020 01:34:00 AM,055XX W CULLOM AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1624,38,06,1138616,1928041,41.958671656,-87.765788396,"(41.958671656, -87.765788396)"
JD364533,09/11/2020 09:17:00 PM,018XX N LINDER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2532,37,07,1139444,1911571,41.913461196,-87.76314702,"(41.913461196, -87.76314702)"
JD367934,09/05/2020 01:56:00 PM,063XX S WOODLAWN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,314,20,06,1185302,1863367,41.780226662,-87.596195666,"(41.780226662, -87.596195666)"
JD364381,09/11/2020 09:00:00 PM,044XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1913,46,14,1165732,1929488,41.962106197,-87.666057818,"(41.962106197, -87.666057818)"
JD364196,09/11/2020 05:14:00 PM,023XX W 52ND ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,932,15,26,1161774,1869962,41.798845293,-87.682269977,"(41.798845293, -87.682269977)"
JD363366,09/11/2020 12:30:00 AM,056XX S GREEN ST,0820,THEFT,$500 AND UNDER,STREET,N,N,712,20,06,1171601,1867448,41.791736704,-87.646305896,"(41.791736704, -87.646305896)"
JD364275,09/11/2020 08:53:00 PM,038XX W POLK ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1133,24,08A,1150902,1896091,41.870765737,-87.721457856,"(41.870765737, -87.721457856)"
JD367143,09/11/2020 09:00:00 AM,034XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1634,31,07,1143763,1922653,41.94379141,-87.747001297,"(41.94379141, -87.747001297)"
JD392703,10/08/2020 12:30:00 PM,027XX S SPAULDING AVE,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1032,22,03,1154807,1885616,41.841943874,-87.707401519,"(41.841943874, -87.707401519)"
JD367652,08/22/2020 08:57:00 PM,0000X W 36TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,213,3,11,1176726,1881132,41.829172913,-87.627101228,"(41.829172913, -87.627101228)"
JD364982,09/11/2020 04:30:00 PM,019XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1231,27,14,1163312,1897077,41.873219626,-87.675868666,"(41.873219626, -87.675868666)"
JD459942,12/07/2020 03:00:00 PM,075XX N ROCKWELL ST,0810,THEFT,OVER $500,APARTMENT,N,N,2411,50,06,1157736,1949798,42.018004804,-87.694899153,"(42.018004804, -87.694899153)"
JD364014,09/11/2020 02:35:00 PM,114XX S MAPLEWOOD AVE,1792,KIDNAPPING,CHILD ABDUCTION / STRANGER,SIDEWALK,N,N,2212,19,26,1161434,1828780,41.685842548,-87.684655262,"(41.685842548, -87.684655262)"
